y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
5,1401,110,110,110,0,0.078515346181299,1.0,1.0,3,gte_mean,39,train,relu
6,1521,19,19,19,0,0.0124917817225509,1.0,1.0,3,gte_mean,39,train,relu
7,1508,53,52,52,0,0.0344827586206896,1.0,0.9811320754716981,3,gte_mean,39,train,relu
8,1497,56,56,56,0,0.0374081496325985,1.0,1.0,3,gte_mean,39,train,relu
9,1521,24,23,23,0,0.0151216305062458,1.0,0.9583333333333334,3,gte_mean,39,train,relu
10,1447,32,32,32,0,0.0221147201105736,1.0,1.0,3,gte_mean,39,train,relu
11,1485,38,38,38,0,0.0255892255892255,1.0,1.0,3,gte_mean,39,train,relu
12,1478,6,6,6,0,0.0040595399188092,1.0,1.0,3,gte_mean,39,train,relu
13,1477,11,11,11,0,0.0074475287745429,1.0,1.0,3,gte_mean,39,train,relu
14,1485,3,3,3,0,0.002020202020202,1.0,1.0,3,gte_mean,39,train,relu
15,1460,13,13,13,0,0.008904109589041,1.0,1.0,3,gte_mean,39,train,relu
16,1455,18,18,18,0,0.0123711340206185,1.0,1.0,3,gte_mean,39,train,relu
17,1478,5,5,5,0,0.003382949932341,1.0,1.0,3,gte_mean,39,train,relu
18,1563,48,48,48,0,0.0307101727447216,1.0,1.0,3,gte_mean,39,train,relu
19,1504,89,87,87,0,0.057845744680851,1.0,0.9775280898876404,3,gte_mean,39,train,relu
20,1496,75,74,74,0,0.0494652406417112,1.0,0.9866666666666667,3,gte_mean,39,train,relu
21,1455,58,58,58,0,0.0398625429553264,1.0,1.0,3,gte_mean,39,train,relu
22,1527,32,32,32,0,0.0209561231172233,1.0,1.0,3,gte_mean,39,train,relu
23,1467,44,44,44,0,0.0299931833674164,1.0,1.0,3,gte_mean,39,train,relu
24,1486,34,34,34,0,0.0228802153432032,1.0,1.0,3,gte_mean,39,train,relu
25,1503,57,56,56,0,0.0372588157019294,1.0,0.9824561403508771,3,gte_mean,39,train,relu
26,1532,22,22,22,0,0.0143603133159268,1.0,1.0,3,gte_mean,39,train,relu
27,1519,23,23,23,0,0.0151415404871626,1.0,1.0,3,gte_mean,39,train,relu
28,1496,52,52,52,0,0.03475935828877,1.0,1.0,3,gte_mean,39,train,relu
29,1496,24,24,24,0,0.0160427807486631,1.0,1.0,3,gte_mean,39,train,relu
30,1508,18,18,18,0,0.0119363395225464,1.0,1.0,3,gte_mean,39,train,relu
31,1472,62,61,61,0,0.0414402173913043,1.0,0.9838709677419355,3,gte_mean,39,train,relu
32,1473,23,23,23,0,0.0156143923964697,1.0,1.0,3,gte_mean,39,train,relu
33,1464,166,163,163,0,0.1113387978142076,1.0,0.9819277108433735,3,gte_mean,39,train,relu
34,1519,89,86,86,0,0.0566161948650427,1.0,0.9662921348314607,3,gte_mean,39,train,relu
35,1492,24,24,24,0,0.0160857908847185,1.0,1.0,3,gte_mean,39,train,relu
36,1484,106,104,104,0,0.0700808625336927,1.0,0.9811320754716981,3,gte_mean,39,train,relu
37,1475,112,110,110,0,0.0745762711864406,1.0,0.9821428571428571,3,gte_mean,39,train,relu
38,1401,158,158,158,0,0.1127765881513204,1.0,1.0,3,gte_mean,39,train,relu
39,1541,86,81,81,0,0.0525632706035042,1.0,0.9418604651162791,3,gte_mean,39,train,relu
40,1489,19,19,19,0,0.012760241773002,1.0,1.0,3,gte_mean,39,train,relu
41,1461,27,27,27,0,0.0184804928131416,1.0,1.0,3,gte_mean,39,train,relu
42,1432,26,26,26,0,0.0181564245810055,1.0,1.0,3,gte_mean,39,train,relu
all,63968,2206,2184,2184,0,0.0341420710355177,1.0,0.9900271985494107,3,gte_mean,39,train,relu
0,94,0,50,0,50,0.5319148936170213,1.0,,0,gte_mean,39,test,relu
1,107,0,82,0,82,0.7663551401869159,1.0,,0,gte_mean,39,test,relu
2,97,3,78,3,75,0.8041237113402062,0.0384615384615384,1.0,0,gte_mean,39,test,relu
3,100,8,73,8,65,0.73,0.1095890410958904,1.0,0,gte_mean,39,test,relu
4,107,8,93,8,85,0.8691588785046729,0.086021505376344,1.0,0,gte_mean,39,test,relu
5,95,3,63,3,60,0.6631578947368421,0.0476190476190476,1.0,0,gte_mean,39,test,relu
6,76,2,61,2,59,0.8026315789473685,0.0327868852459016,1.0,0,gte_mean,39,test,relu
7,97,0,63,0,63,0.6494845360824743,1.0,,0,gte_mean,39,test,relu
8,125,1,119,1,118,0.952,0.0084033613445378,1.0,0,gte_mean,39,test,relu
9,86,0,57,0,57,0.6627906976744186,1.0,,0,gte_mean,39,test,relu
10,95,1,87,1,86,0.9157894736842104,0.0114942528735632,1.0,0,gte_mean,39,test,relu
11,81,0,69,0,69,0.8518518518518519,1.0,,0,gte_mean,39,test,relu
12,98,8,88,8,80,0.8979591836734694,0.0909090909090909,1.0,0,gte_mean,39,test,relu
13,92,1,58,1,57,0.6304347826086957,0.0172413793103448,1.0,0,gte_mean,39,test,relu
14,106,0,28,0,28,0.2641509433962264,1.0,,0,gte_mean,39,test,relu
15,100,0,59,0,59,0.59,1.0,,0,gte_mean,39,test,relu
16,130,0,63,0,63,0.4846153846153846,1.0,,0,gte_mean,39,test,relu
17,108,3,62,3,59,0.5740740740740741,0.0483870967741935,1.0,0,gte_mean,39,test,relu
18,85,17,74,17,57,0.8705882352941177,0.2297297297297297,1.0,0,gte_mean,39,test,relu
19,95,14,90,14,76,0.9473684210526316,0.1555555555555555,1.0,0,gte_mean,39,test,relu
20,91,0,73,0,73,0.8021978021978022,1.0,,0,gte_mean,39,test,relu
